
0.0016, 0.00, 41.05, 74.52, 49.71, 80.78, 50.99, 100.50, 64.98, 64.12, 54.05, 98.21, 107.88, 0.00, 48.03, 99.51, 80.10, 86.45, 46.58, 86.76, 87.92, 87.18, 89.14, 59.46, 21.89, 58.18, 76.94, 59.06, 42.84, 110.24, 74.55, 66.13, 65.85, 62.50, 101.29, 36.75, 76.99, 38.47, 109.29, 62.81, 62.32, 71.46, 52.06, 92.70, 44.24, 74.86, 56.61, 23.50, 80.82, 86.03, 77.21, 
0.0016, 0.00, 88.56, 54.46, 100.77, 75.61, 78.92, 84.76, 83.07, 43.91, 43.31, 103.57, 104.38, 63.97, 96.24, 54.95, 108.91, 67.19, 69.30, 106.46, 80.17, 69.19, 101.92, 44.63, 88.30, 68.09, 70.50, 77.00, 62.39, 51.70, 105.62, 107.80, 84.73, 88.68, 53.17, 89.63, 110.60, 89.72, 49.54, 52.34, 101.69, 77.44, 64.05, 91.98, 82.71, 96.08, 95.57, 74.51, 91.29, 77.26, 63.62, 
0.0016, 0.00, 42.23, 101.34, 94.51, 92.59, 108.87, 95.22, 90.95, 85.64, 61.66, 101.78, 82.74, 82.30, 103.83, 104.29, 98.47, 80.19, 87.53, 82.60, 97.02, 93.14, 97.61, 94.47, 96.97, 92.02, 62.26, 92.07, 108.25, 98.46, 79.67, 110.88, 90.44, 53.00, 91.67, 93.05, 71.76, 107.99, 73.89, 72.96, 111.09, 72.48, 68.34, 100.43, 100.81, 96.20, 51.26, 87.70, 110.03, 97.52, 74.94, 
0.0016, 0.00, 70.53, 101.85, 84.83, 91.09, 102.16, 70.94, 101.48, 105.25, 94.48, 95.53, 106.09, 112.01, 52.91, 92.45, 98.63, 91.17, 92.90, 105.16, 101.78, 81.94, 103.22, 103.36, 91.08, 102.87, 97.54, 93.25, 85.16, 96.88, 102.31, 78.02, 95.89, 84.52, 84.05, 90.39, 92.70, 96.47, 92.48, 107.56, 85.53, 81.17, 104.68, 89.56, 81.34, 102.07, 81.92, 97.97, 92.66, 92.64, 94.65, 
0.0016, 0.00, 103.16, 84.34, 93.05, 94.06, 96.63, 98.83, 79.97, 98.38, 84.89, 88.28, 80.79, 92.47, 100.79, 94.64, 78.01, 100.14, 101.61, 100.32, 88.38, 100.99, 104.20, 94.75, 73.21, 77.78, 87.94, 91.99, 95.58, 70.66, 97.57, 93.40, 96.53, 78.74, 100.92, 76.11, 85.50, 97.14, 98.42, 87.39, 92.99, 99.81, 88.63, 95.40, 84.70, 98.91, 88.31, 93.70, 78.87, 89.70, 89.46, 
0.0016, 0.00, 98.39, 97.35, 97.26, 90.35, 89.96, 97.78, 105.01, 88.79, 98.83, 100.41, 85.67, 93.75, 103.12, 85.37, 99.93, 100.13, 99.25, 76.26, 97.70, 100.83, 103.19, 98.50, 85.55, 106.14, 93.77, 99.98, 96.61, 86.89, 105.19, 88.11, 98.48, 90.15, 97.89, 78.57, 89.99, 95.80, 96.18, 104.31, 87.33, 97.02, 105.24, 100.65, 87.10, 97.22, 59.37, 102.84, 96.34, 98.69, 91.98, 
0.0016, 0.00, 88.16, 96.11, 95.53, 95.94, 93.94, 99.98, 93.73, 96.73, 97.42, 93.76, 97.19, 85.75, 93.90, 105.44, 97.20, 92.33, 91.20, 97.96, 97.36, 86.19, 94.56, 95.61, 96.59, 101.37, 96.29, 96.70, 98.84, 97.72, 102.68, 96.14, 95.24, 96.65, 97.98, 98.30, 95.02, 97.22, 95.32, 97.92, 94.91, 100.71, 95.97, 99.23, 86.60, 98.80, 94.60, 85.71, 94.82, 93.16, 94.76, 
0.0016, 0.00, 89.21, 96.24, 93.96, 97.03, 100.87, 82.23, 93.73, 92.96, 93.21, 94.03, 97.22, 93.04, 96.00, 96.92, 96.32, 93.90, 95.05, 96.47, 95.92, 96.81, 94.52, 93.17, 94.34, 94.86, 84.62, 92.90, 83.95, 92.18, 96.99, 96.36, 92.48, 93.74, 92.57, 84.78, 93.94, 92.20, 94.97, 96.80, 98.13, 93.36, 91.59, 99.23, 95.49, 101.15, 92.98, 94.51, 97.77, 83.20, 93.44, 
0.0016, 0.00, 94.45, 90.52, 93.08, 93.79, 93.17, 90.74, 92.79, 90.47, 92.33, 93.74, 91.07, 90.96, 94.29, 95.59, 93.34, 93.25, 93.95, 92.30, 93.18, 92.27, 92.76, 91.97, 94.47, 89.65, 92.82, 92.47, 91.99, 92.32, 92.49, 91.60, 89.63, 93.39, 91.35, 90.63, 90.32, 91.10, 93.50, 93.15, 92.43, 94.76, 93.68, 92.76, 93.79, 91.79, 94.71, 91.34, 93.17, 93.27, 92.96, 
0.0016, 0.00, 94.54, 91.05, 90.44, 92.41, 89.27, 93.33, 90.66, 90.63, 91.76, 91.44, 91.96, 90.92, 92.51, 91.44, 90.13, 93.30, 93.77, 91.15, 92.51, 89.65, 94.35, 91.77, 91.68, 90.62, 92.16, 90.29, 93.07, 91.00, 91.39, 91.35, 92.74, 94.41, 91.76, 93.94, 91.58, 93.83, 93.22, 94.28, 92.66, 90.04, 90.56, 93.44, 91.09, 89.56, 94.08, 95.37, 89.66, 92.10, 90.15, 
0.0016, 0.00, 92.49, 88.29, 90.53, 87.72, 91.27, 91.09, 94.12, 90.85, 91.22, 90.31, 92.15, 89.85, 89.95, 90.75, 88.88, 89.57, 92.33, 92.25, 90.02, 82.05, 85.23, 88.82, 89.71, 89.57, 91.60, 92.64, 89.92, 89.38, 89.78, 88.72, 90.41, 90.35, 91.69, 89.55, 89.85, 89.32, 91.40, 90.11, 90.01, 91.43, 88.90, 88.48, 90.68, 91.00, 90.88, 91.12, 91.97, 90.40, 91.73, 
0.0016, 0.00, 83.45, 88.68, 90.11, 87.01, 87.34, 91.48, 87.55, 80.89, 86.42, 77.95, 87.00, 92.44, 90.92, 87.99, 50.90, 87.08, 87.90, 71.73, 89.29, 91.59, 97.56, 86.51, 96.39, 80.38, 92.28, 88.63, 83.29, 93.96, 95.41, 68.99, 79.72, 87.70, 89.13, 78.34, 91.54, 82.04, 90.01, 65.55, 88.26, 95.48, 92.09, 92.49, 87.75, 90.87, 82.90, 105.92, 95.33, 89.76, 78.92, 
0.0016, 0.00, 103.07, 82.44, 99.51, 66.77, 82.84, 100.52, 72.50, 70.00, 72.65, 96.83, 85.08, 55.84, 88.34, 80.23, 97.07, 79.71, 70.98, 91.26, 62.56, 39.72, 93.59, 85.78, 83.65, 50.30, 87.48, 74.69, 77.14, 72.45, 86.46, 76.95, 74.23, 83.96, 49.94, 91.18, 67.61, 94.34, 63.15, 85.34, 65.41, 85.20, 78.39, 76.40, 69.90, 82.05, 94.78, 73.61, 94.34, 70.70, 97.15, 
0.0016, 0.00, 23.91, 57.87, 62.85, 55.21, 79.36, 49.99, 59.25, 63.33, 39.95, 58.80, 52.23, 55.20, 42.25, 22.33, 69.28, 40.28, 44.34, 94.53, 44.61, 40.35, 61.28, 52.22, 48.05, 52.44, 75.71, 56.65, 65.20, 49.97, 49.65, 56.55, 91.64, 23.57, 56.61, 74.44, 37.42, 81.05, 54.85, 53.01, 41.03, 81.47, 25.18, 32.14, 45.34, 0.00, 71.93, 39.39, 34.06, 57.69, 30.09, 
0.0016, 0.00, 59.27, 89.05, 0.00, 54.07, 49.53, 24.50, 50.00, 31.08, 6.43, 16.03, 26.47, 18.90, 52.75, 14.07, 50.69, 35.34, 30.80, 25.20, 14.91, 7.79, 8.83, 44.12, 35.00, 58.64, 0.00, 85.36, 16.28, 35.18, 41.41, 23.53, 45.42, 16.27, 16.81, 48.71, 15.58, 65.20, 25.73, 47.66, 32.29, 0.00, 60.34, 8.45, 51.09, 30.34, 61.01, 19.24, 63.46, 18.60, 47.83, 
